time_s,H2,H,O,O2,OH,H2O,HO2,H2O2,AR,N2
0.004763000000000308,0.007787830636540529,0.0008921762818351716,0.0002859567287933801,0.003059094421457601,0.0036579691527174555,0.1988400842196271,4.926274639472046e-07,4.9688189644923156e-08,0.0,0.785476346243375
0.004764000000000308,0.007787669911190642,0.0008921378688057658,0.00028594476240194236,0.003059027722233005,0.0036579000675888446,0.19884032652274336,4.92611836910131e-07,4.968717054511949e-08,0.0,0.7854764508460289
0.004765000000000308,0.007787509322184173,0.0008920994893301852,0.00028593280645717174,0.0030589610796938004,0.003657831041023825,0.1988405686196689,4.925962233537014e-07,4.9686152310298544e-08,0.0,0.7854765553592663
0.004766000000000308,0.007787348869400798,0.0008920611433771989,0.0002859208609493552,0.0030588944937897833,0.0036577620729707967,0.19884081051058672,4.925806232656429e-07,4.968513493969611e-08,0.0,0.785476659783167
0.004767000000000308,0.0077871885527203135,0.0008920228309156089,0.0002859089258687899,0.0030588279644707997,0.003657693163378211,0.1988410521956798,4.925650366336951e-07,4.968411843254875e-08,0.0,0.7854767641178115
0.0047680000000003084,0.007787028372022615,0.0008919845519142485,0.00028589700120578245,0.0030587614916867396,0.0036576243121945635,0.19884129367513065,4.925494634456089e-07,4.968310278809366e-08,0.0,0.7854768683632792
0.004769000000000309,0.007786868327187722,0.0008919463063419833,0.0002858850869506499,0.003058695075387542,0.0036575555193684027,0.19884153494912188,4.925339036891479e-07,4.968208800556883e-08,0.0,0.7854769725196501
0.004770000000000309,0.007786708418095761,0.0008919080941677102,0.00028587318309371875,0.0030586287155231918,0.003657486784848322,0.19884177601783587,4.925183573520874e-07,4.968107408421293e-08,0.0,0.785477076587004
0.004771000000000309,0.007786548644626974,0.0008918699153603588,0.0002858612896253256,0.003058562412043724,0.003657418108582965,0.19884201688145473,4.925028244222146e-07,4.968006102326538e-08,0.0,0.7854771805654206
0.004772000000000309,0.00778638900666171,0.0008918317698888893,0.0002858494065358169,0.0030584961648992166,0.003657349490521023,0.19884225754016038,4.92487304887329e-07,4.967904882196626e-08,0.0,0.7854772844549791
0.004773000000000309,0.007786229504080439,0.000891793657722295,0.000285837533815549,0.0030584299740397986,0.003657280930611236,0.19884249799413486,4.924717987352417e-07,4.9678037479556403e-08,0.0,0.7854773882557596
0.004774000000000309,0.007786070136763736,0.0008917555788295997,0.00028582567145488797,0.0030583638394156435,0.003657212428802391,0.19884273824355958,4.92456305953776e-07,4.967702699527736e-08,0.0,0.7854774919678412
0.004775000000000309,0.007785910904592291,0.0008917175331798594,0.00028581381944420986,0.0030582977609769717,0.0036571439850433254,0.19884297828861622,4.924408265307671e-07,4.9676017368371396e-08,0.0,0.7854775955913033
0.0047760000000003095,0.007785751807446902,0.000891679520742161,0.00028580197777390034,0.0030582317386740514,0.0036570755992829215,0.19884321812948588,4.924253604540618e-07,4.9675008598081437e-08,0.0,0.785477699126225
0.00477700000000031,0.007785592845208487,0.0008916415414856244,0.000285790146434355,0.0030581657724571983,0.0036570072714701136,0.1988434577663499,4.924099077115192e-07,4.9674000683651216e-08,0.0,0.785477802572686
0.00477800000000031,0.007785434017758066,0.0008916035953793991,0.0002857783254159792,0.003058099862276773,0.003656939001553879,0.1988436971993891,4.923944682910099e-07,4.967299362432508e-08,0.0,0.7854779059307649
0.00477900000000031,0.007785275324976776,0.0008915656823926679,0.0002857665147091881,0.0030580340080831837,0.003656870789483248,0.19884393642878434,4.923790421804168e-07,4.9671987419348154e-08,0.0,0.7854780092005411
0.00478000000000031,0.007785116766745862,0.0008915278024946435,0.0002857547143044066,0.0030579682098268854,0.0036568026352072954,0.1988441754547162,4.923636293676342e-07,4.967098206796623e-08,0.0,0.7854781123820933
0.00478100000000031,0.007784958342946684,0.0008914899556545704,0.00028574292419206924,0.0030579024674583792,0.003656734538675144,0.1988444142773651,4.923482298405685e-07,4.966997756942582e-08,0.0,0.7854782154755006
0.00478200000000031,0.007784800053460713,0.0008914521418417254,0.0002857311443626206,0.003057836780928214,0.0036566664998359676,0.19884465289691147,4.923328435871379e-07,4.9668973922974183e-08,0.0,0.7854783184808419
0.0047830000000003104,0.007784641898169525,0.0008914143610254153,0.0002857193748065145,0.0030577711501869826,0.0036565985186389825,0.19884489131353522,4.923174705952721e-07,4.96679711278592e-08,0.0,0.7854784213981957
0.004784000000000311,0.007784483876954809,0.0008913766131749783,0.00028570761551421496,0.0030577055751853264,0.003656530595033457,0.19884512952741643,4.923021108529128e-07,4.9666969183329545e-08,0.0,0.7854785242276406
0.004785000000000311,0.007784325989698373,0.0008913388982597848,0.0002856958664761953,0.003057640055873933,0.0036564627289687054,0.19884536753873477,4.922867643480137e-07,4.966596808863453e-08,0.0,0.7854786269692559
0.004786000000000311,0.007784168236282122,0.0008913012162492347,0.00028568412768293874,0.0030575745922035344,0.003656394920394087,0.19884560534766993,4.922714310685395e-07,4.96649678430242e-08,0.0,0.7854787296231192
0.004787000000000311,0.0077840106165880775,0.0008912635671127606,0.00028567239912493807,0.0030575091841249114,0.0036563271692590157,0.19884584295440128,4.922561110024676e-07,4.966396844574931e-08,0.0,0.7854788321893096
0.004788000000000311,0.007783853130498376,0.0008912259508198249,0.0002856606807926958,0.0030574438315888893,0.003656259475512944,0.19884608035910808,4.922408041377862e-07,4.966296989606132e-08,0.0,0.7854789346679051
0.004789000000000311,0.007783695777895256,0.0008911883673399222,0.000285648972676724,0.0030573785345463394,0.0036561918391053764,0.19884631756196947,4.922255104624959e-07,4.966197219321235e-08,0.0,0.7854790370589843
0.004790000000000311,0.007783538558661072,0.0008911508166425768,0.00028563727476754437,0.00305731329294818,0.0036561242599858663,0.1988465545631643,4.922102299646084e-07,4.9660975336455257e-08,0.0,0.7854791393626251
0.0047910000000003115,0.007783381472678282,0.0008911132986973445,0.00028562558705568826,0.0030572481067453736,0.0036560567381040097,0.19884679136287137,4.921949626321473e-07,4.9659979325043586e-08,0.0,0.7854792415789059
0.004792000000000312,0.007783224519829458,0.0008910758134738124,0.00028561390953169664,0.003057182975888931,0.003655989273409453,0.19884702796126927,4.92179708453148e-07,4.9658984158231594e-08,0.0,0.7854793437079047
0.004793000000000312,0.007783067699997282,0.0008910383609415977,0.00028560224218611993,0.0030571179003299085,0.0036559218658518905,0.19884726435853642,4.921644674156574e-07,4.96579898352742e-08,0.0,0.7854794457496996
0.004794000000000312,0.0077829110130645425,0.0008910009410703487,0.0002855905850095182,0.0030570528800194056,0.0036558545153810604,0.198847500554851,4.921492395077336e-07,4.9656996355427066e-08,0.0,0.7854795477043683
0.004795000000000312,0.007782754458914139,0.0008909635538297445,0.0002855789379924612,0.0030569879149085705,0.003655787221946749,0.19884773655039117,4.92134024717447e-07,4.965600371794651e-08,0.0,0.7854796495719888
0.004796000000000312,0.007782598037429076,0.0008909261991894944,0.0002855673011255279,0.0030569230049485945,0.0036557199854987915,0.1988479723453348,4.92118823032879e-07,4.965501192208956e-08,0.0,0.7854797513526387
0.004797000000000312,0.007782441748492476,0.0008908888771193392,0.00028555567439930723,0.0030568581500907167,0.003655652805987067,0.1988482079398596,4.921036344421229e-07,4.965402096711395e-08,0.0,0.785479853046396
0.004798000000000312,0.007782285591987561,0.0008908515875890496,0.00028554405780439716,0.003056793350286222,0.0036555856833615057,0.19884844333414323,4.920884589332834e-07,4.965303085227809e-08,0.0,0.7854799546533382
0.0047990000000003126,0.007782129567797666,0.0008908143305684273,0.0002855324513314055,0.003056728605486438,0.0036555186175720794,0.19884867852836308,4.920732964944767e-07,4.9652041576841094e-08,0.0,0.7854800561735429
0.004800000000000313,0.007781973675806234,0.0008907771060273041,0.0002855208549709494,0.0030566639156427403,0.0036554516085688096,0.19884891352269635,4.920581471138305e-07,4.965105314006274e-08,0.0,0.7854801576070874
0.004801000000000313,0.007781817915896814,0.0008907399139355422,0.0002855092687136554,0.0030565992807065484,0.003655384656301764,0.19884914831732015,4.92043010779484e-07,4.965006554120352e-08,0.0,0.7854802589540492
0.004802000000000313,0.007781662287953067,0.0008907027542630349,0.00028549769255015986,0.003056534700629329,0.0036553177607210586,0.1988493829124114,4.920278874795879e-07,4.964907877952463e-08,0.0,0.7854803602145057
0.004803000000000313,0.00778150679185876,0.0008906656269797051,0.00028548612647110805,0.0030564701753625903,0.0036552509217768507,0.1988496173081468,4.920127772023043e-07,4.9648092854287895e-08,0.0,0.785480461388534
0.004804000000000313,0.007781351427501976,0.0008906285320571238,0.0002854745704676785,0.003056405704859806,0.003655184139420678,0.19884985150469647,4.919976799369284e-07,4.9647107764764626e-08,0.0,0.7854805624762085
0.004805000000000313,0.007781196194779293,0.0008905914694701158,0.0002854630245321018,0.0030563412890783027,0.0036551174136067646,0.19885008550221736,4.919825956750027e-07,4.96461235102441e-08,0.0,0.7854806634775969
0.0048060000000003135,0.007781041093559536,0.0008905544391828275,0.0002854514886531533,0.0030562769279627844,0.0036550507442805955,0.19885031930090932,4.91967524400654e-07,4.964514008995866e-08,0.0,0.7854807643927874
